filer,filingYear,name,description,fmv,nature,acquired,disposed,formUrl,legislatorDigitalDemocracyUrl
Dawn Addis,2022,AT&T,Telecommunications,"$10,001 - $100,000",Stock,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/abe79aa1-e3b3-40f7-a21c-07c457bfbff9.pdf,https://digitaldemocracy.calmatters.org/legislators/dawn-addis-165438
Dawn Addis,2022,Etsy,Online marketplace,"$10,001 - $100,000",Stock,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/abe79aa1-e3b3-40f7-a21c-07c457bfbff9.pdf,https://digitaldemocracy.calmatters.org/legislators/dawn-addis-165438
Dawn Addis,2022,Verizon Communications,Telecommunications,"$10,001 - $100,000",Stock,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/abe79aa1-e3b3-40f7-a21c-07c457bfbff9.pdf,https://digitaldemocracy.calmatters.org/legislators/dawn-addis-165438
Dawn Addis,2022,Warner Brothers,TV/Film,"$2,000 - $10,000",Stock,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/abe79aa1-e3b3-40f7-a21c-07c457bfbff9.pdf,https://digitaldemocracy.calmatters.org/legislators/dawn-addis-165438
Dawn Addis,2023,AT&T,Telecommunications,"$10,001 - $100,000",Stock,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/e8d40e04-85a1-44ee-8f66-d9860e051e0e.pdf,https://digitaldemocracy.calmatters.org/legislators/dawn-addis-165438
Dawn Addis,2023,Etsy,Online marketplace ,"$10,001 - $100,000",Stock,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/e8d40e04-85a1-44ee-8f66-d9860e051e0e.pdf,https://digitaldemocracy.calmatters.org/legislators/dawn-addis-165438
Dawn Addis,2023,Verizon Communications,Telecommunications,"$2,000 - $10,000",Stock,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/e8d40e04-85a1-44ee-8f66-d9860e051e0e.pdf,https://digitaldemocracy.calmatters.org/legislators/dawn-addis-165438
Dawn Addis,2023,Vodafone,Telecommunications,"$2,000 - $10,000",Stock,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/e8d40e04-85a1-44ee-8f66-d9860e051e0e.pdf,https://digitaldemocracy.calmatters.org/legislators/dawn-addis-165438
Dawn Addis,2023,Warner Brothers,TV/Film,"$2,000 - $10,000",Stock,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/e8d40e04-85a1-44ee-8f66-d9860e051e0e.pdf,https://digitaldemocracy.calmatters.org/legislators/dawn-addis-165438
Joaquin Arambula,2022,Erp Operating Limited,"Two North Riverside, Chicago IL 60606","$100,001 - $1,000,000",Partnership,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/84493db1-4846-4f47-8c70-f76c36c01cb1.pdf,https://digitaldemocracy.calmatters.org/legislators/joaquin-arambula-17377
