filer,filingYear,name,nature,grossIncomeReceived,address,businessFmv,businessOrTrust,realPropertyNameOrAddress,realPropertyFmv,realPropertyInvestmentOrProperty,realPropertyNature,formUrl,legislatorDigitalDemocracyUrl
Cecilia Aguiar-Curry,2024,JMA Properties LLC,Partnership,"$10,001 - $100,000","27397 County Road 91A, Winters, CA 95694","$10,001 - $100,000",Business entity,"JMA Properties, LLC","$10,001 - $100,000",Property,Partnership,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/6c10ffb6-f61e-483c-b7e1-050d76e1456d.pdf,https://digitaldemocracy.calmatters.org/legislators/cecilia-aguiar-curry-101332
Cecilia Aguiar-Curry,2024,"Slough View Farms, LLC",,"$10,001 - $100,000","27397 County Road 91A, Winters, CA 95694",,Trust,"Slough View Farms, LLC","$100,001 - $1,000,000",,Partnership,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/6c10ffb6-f61e-483c-b7e1-050d76e1456d.pdf,https://digitaldemocracy.calmatters.org/legislators/cecilia-aguiar-curry-101332
Cecilia Aguiar-Curry,2023,JMA Properties LLC,Partnership,"$10,001 - $100,000","27397 County Road 91A, Winters, CA 95694","$10,001 - $100,000",Business entity,27397 County Road 91A* ,"$10,001 - $100,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f676be96-f906-4e9d-9794-00a11f896cb5.pdf,https://digitaldemocracy.calmatters.org/legislators/cecilia-aguiar-curry-101332
Cecilia Aguiar-Curry,2023,Slough View Farms LLC,,"$10,001 - $100,000","27397 County Road 91A, Winters, CA 95694",,Trust,Slough View Farms LLC*,"$100,001 - $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f676be96-f906-4e9d-9794-00a11f896cb5.pdf,https://digitaldemocracy.calmatters.org/legislators/cecilia-aguiar-curry-101332
Cecilia Aguiar-Curry,2022,JMA Properties LLC,Partnership,"$10,001 - $100,000","27397 County Road 91A, Winters, CA 95694","$10,001 - $100,000",Business entity,"JMA Properties, LLC","$10,001 - $100,000",Property,Partnership,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/af99f117-c889-4391-aa68-5b60f1dd5ab0.pdf,https://digitaldemocracy.calmatters.org/legislators/cecilia-aguiar-curry-101332
Cecilia Aguiar-Curry,2022,"Slough View Farms, LLC",,"$10,001 - $100,000","27397 County Road 91A, Winters, CA 95694",,Trust,"Slough View Farms, LLC","$100,001 - $1,000,000",Property,Partnership,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/af99f117-c889-4391-aa68-5b60f1dd5ab0.pdf,https://digitaldemocracy.calmatters.org/legislators/cecilia-aguiar-curry-101332
Cecilia Aguiar-Curry,2021,JMA Properties LLC,Partnership,"$10,001 - $100,000","27397 County Road 91A, Winters, CA 95694","$10,001 - $100,000",Business entity,"JMA Properties, LLC","$10,001 - $100,000",Property,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f6c85250-b252-45e1-abc5-87387eab9528.pdf,https://digitaldemocracy.calmatters.org/legislators/cecilia-aguiar-curry-101332
Cecilia Aguiar-Curry,2021,"Slough View Farms, LLC",,"$10,001 - $100,000","27397 County Road 91A, Winters, CA 95694",,Trust,"Slough View Farms, LLC","$100,001 - $1,000,000",Property,Partnership,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f6c85250-b252-45e1-abc5-87387eab9528.pdf,https://digitaldemocracy.calmatters.org/legislators/cecilia-aguiar-curry-101332
Juan Alanis,2024,Sophia's Rustic Boutique,Sole Proprietorship,"$10,001 - $100,000","4112 Ruth Avenue, Modesto, CA 95355","$2,000 - $10,000",Business entity,,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/cfa655db-2ab4-4b41-8a49-6871630ab9bf.pdf,https://digitaldemocracy.calmatters.org/legislators/juan-alanis-165456
Juan Alanis,2024,One Day Photography,Sole Proprietorship,"$10,001 - $100,000","4112 Ruth Avenue, Modesto, CA 95355","$2,000 - $10,000",Business entity,,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/cfa655db-2ab4-4b41-8a49-6871630ab9bf.pdf,https://digitaldemocracy.calmatters.org/legislators/juan-alanis-165456
