filer,filingYear,sourceName,address,businessActivity,position,grossIncome,consideration,saleOf,commissionOrRentalIncomeDescription,otherDescription,formUrl,legislatorGlassHouseUrl
Dawn Addis,2022,Women's March San Luis Obispo,"POB 5473, Richmond, CA 94805",,Co Executive Director,"$1,001 - $10,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/abe79aa1-e3b3-40f7-a21c-07c457bfbff9.pdf,https://calmatters.org/legislator-tracker/dawn-addis-1972
Juan Alanis,2022,One Day Photography,"4112 Ruth Avenue, Modesto, CA 95355",,Spouse Business,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/9f0078fa-815f-4991-8ef5-982ec30bcf6f.pdf,https://calmatters.org/legislator-tracker/juan-alanis-1978
Juan Alanis,2022,Sofia's Rustic Boutique,"4112 Ruth Avenue, Modesto, CA 95355",,,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/9f0078fa-815f-4991-8ef5-982ec30bcf6f.pdf,https://calmatters.org/legislator-tracker/juan-alanis-1978
Juan Alanis,2022,Stanislaus County Sheriffs Office,"250 Hackett Road Modesto, CA 95358",,Sergeant,"Over $100,000",Other,,,Hourly,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/9f0078fa-815f-4991-8ef5-982ec30bcf6f.pdf,https://calmatters.org/legislator-tracker/juan-alanis-1978
Juan Alanis,2023,One Day Photography,"4112 Ruth Avenue, Modesto, CA 95355",,Spouse Buisness,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/c5442f97-bf11-48eb-bc80-74ab4284eefa.pdf,https://calmatters.org/legislator-tracker/juan-alanis-1978
Juan Alanis,2023,Sofia's Rustic Boutique,"4112 Ruth Avenue, Modesto, CA 95355",,Spouse Business,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/c5442f97-bf11-48eb-bc80-74ab4284eefa.pdf,https://calmatters.org/legislator-tracker/juan-alanis-1978
Juan Alanis,2023,Stanislaus County Sheriffs Office,"250 Hackett Road Modesto, CA 95358 ",,Sergeant through 6/17/23,"$10,001 - $100,000",Other,,,Hourly,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/c5442f97-bf11-48eb-bc80-74ab4284eefa.pdf,https://calmatters.org/legislator-tracker/juan-alanis-1978
Juan Alanis,2023,State of California,"300 Capitol Mall, Suite 1850 Sacramento, CA 95814 ",,Member of Assembly,"Over $100,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/c5442f97-bf11-48eb-bc80-74ab4284eefa.pdf,https://calmatters.org/legislator-tracker/juan-alanis-1978
Marie Alvarado-Gil,2022,Mt. Diablo Unified Schjool District,"1936 Carlotta Dr, Concord, CA 94519",Employment,General Counsel,"Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/827fb1dd-03b1-456d-9c8b-2924c5770723.pdf,https://calmatters.org/legislator-tracker/marie-alvarado-gil-1973
Marie Alvarado-Gil,2022,Rocketshlp Education,,Employment,Regional Director,"Over $100,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/827fb1dd-03b1-456d-9c8b-2924c5770723.pdf,https://calmatters.org/legislator-tracker/marie-alvarado-gil-1973
Marie Alvarado-Gil,2023,Mt. Diablo Unified School District," 1936 Carlotta Dr, Concord, CA 94519",Education,General Counsel,"Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/fa0c31f9-b583-4ebc-9df5-ffa164aa8df5.pdf,https://calmatters.org/legislator-tracker/marie-alvarado-gil-1973
Marie Alvarado-Gil,2023,Rocketship Education,,Education,Regional Director,"$10,001 - $100,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/fa0c31f9-b583-4ebc-9df5-ffa164aa8df5.pdf,https://calmatters.org/legislator-tracker/marie-alvarado-gil-1973
David Alvarez,2021,Nativity Prep Academy,"4463 College Avenue, San Diego, CA 92115",School,Director,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/6e819694-c352-4214-9cb6-429811a5e31c.pdf,https://calmatters.org/legislator-tracker/david-alvarez-1980
David Alvarez,2022,Nativity Prep Academy,"4463 College Avenue, San Diego, CA 92115",Education,No Business Position,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/5e3bbb42-bd15-4ac5-af20-9e56317a3b5c.pdf,https://calmatters.org/legislator-tracker/david-alvarez-1980
David Alvarez,2023,Nativity Prep Academy,"4463 College Avenue, San Diego, CA 92115",Education,No Business Position,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/de1fa882-d9ff-42de-ad3d-27de41afe631.pdf,https://calmatters.org/legislator-tracker/david-alvarez-1980
Joaquin Arambula,2021,ERP Operating Limited,"Two North Riverside,Chicago, IL 60606",Real Estate,Inestor,"$1,001 - $10,000",Partnership,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/6afcbada-ac23-4405-8f0b-a7a1bb772478.pdf,https://calmatters.org/legislator-tracker/joaquin-arambula-1977
