filer,filingYear,sourceName,amount,reimbursedAmount,date,description,formUrl,legislatorDigitalDemocracyUrl
Dawn Addis,2022,AT&T,250,0,2022-11-12,Ticket to attend Panetta Institute Fundraiser,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/abe79aa1-e3b3-40f7-a21c-07c457bfbff9.pdf,https://digitaldemocracy.calmatters.org/legislators/dawn-addis-165438
Dawn Addis,2022,Barona Band Of Mission Indians,88.09,0,2022-07-27,Meal,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/abe79aa1-e3b3-40f7-a21c-07c457bfbff9.pdf,https://digitaldemocracy.calmatters.org/legislators/dawn-addis-165438
Dawn Addis,2022,Barona Band Of Mission Indians,94,0,2022-07-27,Lodging,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/abe79aa1-e3b3-40f7-a21c-07c457bfbff9.pdf,https://digitaldemocracy.calmatters.org/legislators/dawn-addis-165438
Dawn Addis,2022,California Democratic Party,61.78,0,2022-11-09,Lunch,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/abe79aa1-e3b3-40f7-a21c-07c457bfbff9.pdf,https://digitaldemocracy.calmatters.org/legislators/dawn-addis-165438
Dawn Addis,2022,California Democratic Party,137.46,0,2022-11-09,Dinner,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/abe79aa1-e3b3-40f7-a21c-07c457bfbff9.pdf,https://digitaldemocracy.calmatters.org/legislators/dawn-addis-165438
Dawn Addis,2022,Women in California Leadership,46.01,0,2022-12-05,2 office plants,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/abe79aa1-e3b3-40f7-a21c-07c457bfbff9.pdf,https://digitaldemocracy.calmatters.org/legislators/dawn-addis-165438
Dawn Addis,2023,AT&T,200,0,2023-02-05,2 tickets,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/e8d40e04-85a1-44ee-8f66-d9860e051e0e.pdf,https://digitaldemocracy.calmatters.org/legislators/dawn-addis-165438
Dawn Addis,2023,American Clean Power Association,30,0,2023-10-03,breakfast,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/e8d40e04-85a1-44ee-8f66-d9860e051e0e.pdf,https://digitaldemocracy.calmatters.org/legislators/dawn-addis-165438
Dawn Addis,2023,American Clean Power Association,50,0,2023-10-03,lunch,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/e8d40e04-85a1-44ee-8f66-d9860e051e0e.pdf,https://digitaldemocracy.calmatters.org/legislators/dawn-addis-165438
Dawn Addis,2023,California Democratic Party,80.93,0,2023-01-11,meals,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/e8d40e04-85a1-44ee-8f66-d9860e051e0e.pdf,https://digitaldemocracy.calmatters.org/legislators/dawn-addis-165438
Dawn Addis,2023,California Democratic Party,66.63,0,2023-01-23,meals,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/e8d40e04-85a1-44ee-8f66-d9860e051e0e.pdf,https://digitaldemocracy.calmatters.org/legislators/dawn-addis-165438
Dawn Addis,2023,California Democratic Party,66.14,0,2023-04-18,Caucus lunch,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/e8d40e04-85a1-44ee-8f66-d9860e051e0e.pdf,https://digitaldemocracy.calmatters.org/legislators/dawn-addis-165438
Dawn Addis,2023,California Democratic Party,72.83,0,2023-08-29,Caucus lunch,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/e8d40e04-85a1-44ee-8f66-d9860e051e0e.pdf,https://digitaldemocracy.calmatters.org/legislators/dawn-addis-165438
Dawn Addis,2023,California Environmental Voters,118.34,0,2023-12-08,breakfast,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/e8d40e04-85a1-44ee-8f66-d9860e051e0e.pdf,https://digitaldemocracy.calmatters.org/legislators/dawn-addis-165438
