filer,filingYear,sourceName,address,cityAndState,amount,reimbursedAmount,onDate,throughDate,giftOrIncome,madeASpeechParticipatedInPanel,giftTravelDestination,otherDescription,formUrl,legislatorDigitalDemocracyUrl
Dawn Addis,2023,Barona Band Of Mission Indians,1095 Barona Road,"Lakeside, CA 9204",140.54,0,2023-05-12,2023-05-12,Gift,false,"Lakeside, CA",travel related to policy tour,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/e8d40e04-85a1-44ee-8f66-d9860e051e0e.pdf,https://digitaldemocracy.calmatters.org/legislators/dawn-addis-165438
Dawn Addis,2023,California Center for Construction Education,265 Hegenberger Road ,"Oakland, CA",545,0,2023-01-30,2023-01-31,Gift,false,"Las Vegas, NV",Travel related to educational tour,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/e8d40e04-85a1-44ee-8f66-d9860e051e0e.pdf,https://digitaldemocracy.calmatters.org/legislators/dawn-addis-165438
Dawn Addis,2023,California Forestry Foundation,"500 Capitol Mall, Suite 2360 ","Sacramento, CA 95814",516.43,0,2023-04-27,2023-04-28,Gift,false,"Santa Cruz Mountains, CA",travel related to forest policy tour ,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/e8d40e04-85a1-44ee-8f66-d9860e051e0e.pdf,https://digitaldemocracy.calmatters.org/legislators/dawn-addis-165438
Dawn Addis,2023,California Foundation on the Environment and the Economy,920 11th Street,"Sacramento, CA 95814",976.59,0,2023-08-24,2023-08-25,Gift,false,"Lake Tahoe, CA",travel related to policy summit,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/e8d40e04-85a1-44ee-8f66-d9860e051e0e.pdf,https://digitaldemocracy.calmatters.org/legislators/dawn-addis-165438
Dawn Addis,2023,The Climate Registry,"600 Wilshire Blvd, Suite 202","Los Angeles, CA 90017",5000,0,2023-12-07,2023-12-12,Gift,false,"Dubai, United Arab Emirates",Travel related to Assembly policy delegation,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/e8d40e04-85a1-44ee-8f66-d9860e051e0e.pdf,https://digitaldemocracy.calmatters.org/legislators/dawn-addis-165438
Dawn Addis,2023,Viejas Band of Kumeyaay Indians,500 Willows Road,"Alpine, CA 91901",225.29,0,2023-05-12,2023-05-12,Gift,false,"Alpine, CA",travel related to policy tour,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/e8d40e04-85a1-44ee-8f66-d9860e051e0e.pdf,https://digitaldemocracy.calmatters.org/legislators/dawn-addis-165438
Cecilia Aguiar-Curry,2021,Aspen Institute,Friedrichstraße 60,"10117 Berlin, Germany",1545.04,0,2021-10-12,2021-10-15,Gift,false,"Village, NV",Telco Tech Conference,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f6c85250-b252-45e1-abc5-87387eab9528.pdf,https://digitaldemocracy.calmatters.org/legislators/cecilia-aguiar-curry-101332
Cecilia Aguiar-Curry,2021,California Foundation on the Environment and the Economy,"Pier 35, Suite 202","San Francisco, CA",10098.65,0,2021-10-15,2021-10-27,Gift,false,Portugal,Study Travel Project to PORTUGAL,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f6c85250-b252-45e1-abc5-87387eab9528.pdf,https://digitaldemocracy.calmatters.org/legislators/cecilia-aguiar-curry-101332
Cecilia Aguiar-Curry,2021,California Issues Forum,1717 I Street,"Sacramento, CA",395.43,0,2021-11-09,2021-11-10,Gift,true,Monterey California,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f6c85250-b252-45e1-abc5-87387eab9528.pdf,https://digitaldemocracy.calmatters.org/legislators/cecilia-aguiar-curry-101332
Cecilia Aguiar-Curry,2021,Foundation for California's Technology and Innovation Economy,"777 S. Figueroa Street, Suite 4050","Los Angeles, CA",1250.29,0,2021-08-05,2021-08-06,Gift,false,"Napa, CA",Technology Caucus Policy Summit,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f6c85250-b252-45e1-abc5-87387eab9528.pdf,https://digitaldemocracy.calmatters.org/legislators/cecilia-aguiar-curry-101332
